"Acronym, CommonName or Chemi-cal Name","ChemicalFormula","Lifetime(Years)","RadiativeEfficiency(W m–2ppb–1)","AGWP20-year(W m–2yr kg–1)","GWP20-year","AGWP100-year(W m–2yr kg–1)","GWP100-year","AGTP20-year(K kg–1)","GTP20-year","50-ye8arAGTP(K kg–1)","GTP50-year","AGTP100-year(K kg–1)","GTP100-year"
Fluoro(fluoromethoxy)methane,CH2FOCH2F,0.9,0.19g,1.20e-11,479,1.20e-11,130,1.05e-13,153,1.37e-14,22,9.84e-15,18
Difluoro(fluoromethoxy)methane,CH2FOCHF2,3.3,0.30g,5.65e-11,2260,5.66e-11,617,6.88e-13,1010,7.11e-14,115,4.69e-14,86
Trifluoro(fluoromethoxy)methane,CH2FOCF3,4.4,0.33g,6.82e-11,2730,6.89e-11,751,9.59e-13,1400,9.27e-14,150,5.72e-14,105
HG’-01,CH3OCF2CF2OCH3,2.0,0.29,2.03e-11,815,2.03e-11,222,2.06e-13,301,2.42e-14,39,1.68e-14,31
HG’-02,CH3O(CF2CF2O)2CH3,2.0,0.56,2.16e-11,868,2.16e-11,236,2.19e-13,320,2.57e-14,42,1.79e-14,33
HG’-03,CH3O(CF2CF2O)3CH3,2.0,0.76,2.03e-11,812,2.03e-11,221,2.05e-13,299,2.41e-14,39,1.67e-14,31
HFE-329me3,CF3CFHCF2OCF3,40.0,0.48,1.79e-10,7170,4.17e-10,4550,4.85e-12,7090,2.89e-12,4690,1.12e-12,2040
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",CF3(CF2)4CH2CH2OH,20.0 days,0.06,3.91e-14,2,3.91e-14,<1,3.12e-16,<1,4.39e-17,<1,3.21e-17,<1
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",CF3(CF2)6CH2CH2OH,20.0 days,0.07,3.00e-14,1,3.00e-14,<1,2.40e-16,<1,3.37e-17,<1,2.46e-17,<1
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Non-adecafluoroundecan-1-ol",CF3(CF2)8CH2CH2OH,20.0 days,0.05,1.72e-14,<1,1.72e-14,<1,1.37e-16,<1,1.93e-17,<1,1.41e-17,<1
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",CH3OCF2CHFCl,1.4,0.21,1.12e-11,449,1.12e-11,122,1.05e-13,153,1.31e-14,21,9.24e-15,17
PFPMIE (perfluoropolymethylisopropyl ether),"CF3OCF(CF3)CF2OCF2OCF3",800.0,0.65,1.87e-10,7500,8.90e-10,9710,5.52e-12,8070,6.11e-12,9910,6.15e-12,"11,300"
HFE-216,CF3OCF=CF2,8.4 days,0.02,1.92e-14,<1,1.92e-14,<1,1.53e-16,<1,2.15e-17,<1,1.58e-17,<1
Trifluoromethyl formate,HCOOCF3,3.5,0.31i,5.37e-11,2150,5.39e-11,588,6.73e-13,984,6.85e-14,111,4.47e-14,82
Perfluoroethyl formate,HCOOCF2CF3,3.5,0.44i,5.30e-11,2130,5.32e-11,580,6.64e-13,971,6.76e-14,110,4.41e-14,81
Perfluoropropyl formate,HCOOCF2CF2CF3,2.6,0.50i,3.45e-11,1380,3.45e-11,376,3.80e-13,555,4.19e-14,68,2.85e-14,52
Perfluorobutyl formate,HCOOCF2CF2CF2CF3,3.0,0.56i,3.59e-11,1440,3.59e-11,392,4.19e-13,613,4.45e-14,72,2.97e-14,54
"2,2,2-Trifluoroethyl formate",HCOOCH2CF3,0.4,0.16i,3.07e-12,123,3.07e-12,33,2.55e-14,37,3.48e-15,6,2.52e-15,5
"3,3,3-Trifluoropropyl formate",HCOOCH2CH2CF3,0.3,0.13i,1.60e-12,64,1.60e-12,17,1.31e-14,19,1.80e-15,3,1.31e-15,2
"1,2,2,2-Tetrafluoroethyl formate",HCOOCHFCF3,3.2,0.35i,4.30e-11,1720,4.31e-11,470,5.17e-13,755,5.39e-14,87,3.57e-14,65
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",HCOOCH(CF3)2,3.2,0.33i,3.05e-11,1220,3.05e-11,333,3.66e-13,535,3.81e-14,62,2.53e-14,46
Perfluorobutyl acetate,CH3COOCF2CF2CF2CF3,21.9 days,0.12i,1.52e-13,6,1.52e-13,2,1.21e-15,2,1.71e-16,<1,1.25e-16,<1
Perfluoropropyl acetate,CH3COOCF2CF2CF3,21.9 days,0.11i,1.59e-13,6,1.59e-13,2,1.27e-15,2,1.78e-16,<1,1.30e-16,<1
Perfluoroethyl acetate,CH3COOCF2CF3,21.9 days,0.10i,1.89e-13,8,1.89e-13,2,1.51e-15,2,2.12e-16,<1,1.55e-16,<1
Trifluoromethyl acetate,CH3COOCF3,21.9 days,0.07i,1.90e-13,8,1.90e-13,2,1.52e-15,2,2.14e-16,<1,1.56e-16,<1
"Acronym, Common Name or Chemical Name",Chemical Formula,"Lifetime(Years)","Radia-tiveEffi-ciency(W m–2ppb–1)","AGWP20-year(W m–2yr kg–1)","GWP20-year","AGWP100-year(W m–2yr kg–1)","GWP100-year","AGTP20-year(K kg–1)","GTP20-year","AGTP50-year(K kg–1)","GTP50-year","AGTP100-year(K kg–1)","GTP100-year"
Methyl carbonofluoridate,FCOOCH3,1.8,0.07i,8.74e-12,350,8.74e-12,95,8.60e-14,126,1.03e-14,17,7.21e-15,13
"1,1-Difluoroethyl carbonofluoridate",FCOOCF2CH3,0.3,0.17i,2.46e-12,99,2.46e-12,27,2.02e-14,30,82.78e-15,5,2.02e-15,4
"1,1-Difluoroethyl 2,2,2-trifluoroacetate",CF3COOCF2CH3,0.3,0.27i,2.83e-12,113,2.83e-12,31,2.33e-14,34,3.20e-15,5,2.32e-15,4
"Ethyl 2,2,2-trifluoroacetate",CF3COOCH2CH3,21.9 days,0.05i,1.26e-13,5,1.26e-13,1,1.00e-15,1,1.41e-16,<1,1.03e-16,<1
"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate",CF3COOCH2CF3,54.8 days,0.15i,6.27e-13,25,6.27e-13,7,5.06e-15,7,7.07e-16,1,5.15e-16,<1
"Methyl 2,2,2-trifluoroacetate",CF3COOCH3,0.6,0.18i,4.80e-12,192,4.80e-12,52,4.08e-14,60,5.47e-15,9,3.95e-15,7
"Methyl 2,2-difluoroacetate",HCF2COOCH3,40.1 days,0.05i,3.00e-13,12,3.00e-13,3,2.41e-15,4,3.38e-16,<1,2.47e-16,<1
"Difluoromethyl 2,2,2-trifluoroacetate",CF3COOCHF2,0.3,0.24i,2.48e-12,99,2.48e-12,27,2.04e-14,30,2.81e-15,5,2.04e-15,4
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",C3F7CH2OH,0.6,0.20,3.10e-12,124,3.10e-12,34,2.61e-14,38,3.52e-15,6,2.55e-15,5
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",CHF2CHFOCF3,9.8,0.35,9.91e-11,3970,1.14e-10,1240,2.03e-12,2960,2.88e-13,467,9.74e-14,178
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",CF3CHFCF2OCH2CH3,0.4,0.19,2.14e-12,86,2.14e-12,23,1.77e-14,26,2.43e-15,4,1.76e-15,3
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",CF3CF2CF2OCHFCF3,67.0,0.58,1.98e-10,7940,5.95e-10,6490,5.57e-12,8140,4.29e-12,6960,2.39e-12,4380
"2,2,3,3-Tetrafluoro-1-propanol",CHF2CF2CH2OH,91.3 days,0.11,1.19e-12,48,1.19e-12,13,9.72e-15,14,1.35e-15,2,9.79e-16,2
"2,2,3,4,4,4-Hexafluoro-1-butanol",CF3CHFCF2CH2OH,94.9 days,0.19,1.56e-12,63,1.56e-12,17,1.27e-14,19,1.76e-15,3,1.28e-15,2
"2,2,3,3,4,4,4-Heptafluoro-1-butanol",CF3CF2CF2CH2OH,0.3,0.16,1.49e-12,60,1.49e-12,16,1.23e-14,18,1.69e-15,3,1.23e-15,2
"1,1,2,2-Tetrafluoro-3-methoxy-propane",CHF2CF2CH2OCH3,14.2 days,0.03,4.82e-14,2,4.82e-14,<1,3.84e-16,<1,5.41e-17,<1,3.96e-17,<1
perfluoro-2-methyl-3-pentanone,CF3CF2C(O)CF(CF3)2,7.0 days,0.03,9.14e-15,<1,9.14e-15,<1,7.27e-17,<1,1.03e-17,<1,7.51e-18,<1
"3,3,3-Trifluoro-propanal",CF3CH2CHO,2.0 days,0.004,9.86e-16,<1,9.86e-16,<1,7.84e-18,<1,1.11e-18,<1,8.10e-19,<1
2-Fluoroethanol,CH2FCH2OH,20.4 days,0.02,8.07e-14,3,8.07e-14,<1,6.45e-16,<1,9.07e-17,<1,6.63e-17,<1
"2,2-Difluoroethanol",CHF2CH2OH,40.0 days,0.04,2.78e-13,11,2.78e-13,3,2.23e-15,3,3.12e-16,<1,2.28e-16,<1
"2,2,2-Trifluoroethanol",CF3CH2OH,0.3,0.10,1.83e-12,73,1.83e-12,20,1.50e-14,22,2.07e-15,3,1.50e-15,3
"1,1’-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",HCF2O(CF2CF2O)2CF2H,26.0,1.15k,2.47e-10,9910,4.51e-10,4920,6.38e-12,9320,2.75e-12,4460,7.45e-13,1360
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexa-decafluoro-2,5,8,11-Tetraoxadodecane",HCF2O(CF2CF2O)3CF2H,26.0,1.43k,2.26e-10,9050,4.12e-10,4490,5.83e-12,8520,2.51e-12,4080,6.81e-13,1250
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eico-safluoro-2,5,8,11,14-Pentaoxapentadecane",HCF2O(CF2CF2O)4CF2H,26.0,1.46k,1.83e-10,7320,3.33e-10,3630,4.71e-12,6880,2.03e-12,3300,5.50e-13,1010
